Model year,Make,Model,Vehicle class,Engine_size,Cylinders,Transmission,Fuel type,City (L/100 km),Highway (L/100 km),Combined,Combined (mpg),CO2emissions,CO2 rating,Smog rating
2025,Chevrolet,Trailblazer,Sport utility vehicle: Small,1.2,3,AV,X,7.8,7.7,7.8,36,183,6,6
2025,Chevrolet,Trailblazer,Sport utility vehicle: Small,1.2,3,AV,E,10.7,10.2,10.5,27,175,6,6
2025,Chevrolet,Trailblazer,Sport utility vehicle: Small,1.3,3,AV,X,8.1,7.2,7.7,37,181,6,6
2025,Chevrolet,Trailblazer AWD,Sport utility vehicle: Small,1.3,3,A9,X,9.1,8.1,8.7,32,204,5,6
2025,Chevrolet,Traverse AWD,Sport utility vehicle: Standard,2.5,4,A8,X,12.3,9.9,11.2,25,262,4,5
2025,Chevrolet,Trax,Station wagon: Small,1.2,3,A6,X,8.5,7.6,8.1,35,190,6,6
2025,Chrysler,Grand Caravan,Minivan,3.6,6,A9,X,12.4,8.4,10.6,27,249,5,6
2025,Chrysler,Pacifica,Minivan,3.6,6,A9,X,12.4,8.4,10.6,27,249,5,6
2025,Chrysler,Pacifica AWD,Minivan,3.6,6,A9,X,14.1,9.4,12,24,279,4,6
2025,Dodge,Durango AWD,Sport utility vehicle: Standard,3.6,6,A8,X,13.5,10,11.9,24,280,4,6
2025,Dodge,Durango AWD,Sport utility vehicle: Standard,5.7,8,A8,X,16.7,10.9,14.1,20,331,3,4
2025,Dodge,Durango AWD SRT Hellcat,Sport utility vehicle: Standard,6.2,8,A8,Z,20.5,13.8,17.4,16,410,1,1
2025,Dodge,Hornet AWD,Sport utility vehicle: Small,2,4,A9,X,11.3,8.1,9.9,29,231,5,6
2025,Ferrari,12Cilindri,Two-seater,6.5,12,AM8,Z,19.6,12.7,16.5,17,385,2,5
2025,Ferrari,12Cilindri Spider,Two-seater,6.5,12,AM8,Z,19.6,13.5,16.8,17,393,2,5
2025,Ferrari,Daytona SP3,Two-seater,6.5,12,AM7,Z,19.9,14.8,17.6,16,410,1,2
2025,Ferrari,Purosangue,Sport utility vehicle: Standard,6.5,12,AM8,Z,22,15.3,19,15,442,1,5
2025,Ferrari,Roma Spider,Minicompact,3.9,8,AM8,Z,13.9,10.5,12.4,23,290,4,5
2025,Ford,Bronco 4WD,Sport utility vehicle: Small,2.3,4,AS10,X,12.9,10.9,12,24,289,4,6
2025,Ford,Bronco 4WD,Sport utility vehicle: Small,2.3,4,M7,X,12.9,11,12.1,23,291,4,6
2025,Ford,Bronco 4WD,Sport utility vehicle: Small,2.7,6,AS10,X,13.7,13.1,13.4,21,314,4,5
2025,Ford,Bronco 4WD (With Sport Mode),Sport utility vehicle: Small,2.7,6,AS10,X,13.8,12.7,13.3,21,313,4,5
2025,Ford,Bronco Badlands 4WD,Sport utility vehicle: Small,2.3,4,AS10,X,14,12.5,13.3,21,321,3,6
2025,Ford,Bronco Badlands 4WD,Sport utility vehicle: Small,2.3,4,M7,X,13.9,12.9,13.5,21,326,3,6
2025,Ford,Bronco Outer Banks 4WD,Sport utility vehicle: Standard,2.7,6,AS10,X,12.5,11.4,12,24,282,4,5
2025,Ford,Bronco Sasquatch 4WD,Sport utility vehicle: Small,2.3,4,AS10,X,13.8,12.4,13.2,21,310,4,6
2025,Ford,Bronco Sasquatch 4WD,Sport utility vehicle: Small,2.3,4,M7,X,13.8,12.4,13.2,21,310,4,6
2025,Ford,Bronco Sport 4WD,Sport utility vehicle: Small,1.5,3,A8,X,9.3,7.9,8.7,32,203,5,6
2025,Ford,Bronco Sport 4WD,Sport utility vehicle: Small,2,4,AS8,X,11.2,8.7,10.1,28,237,5,6
2025,Ford,Bronco Sport Sasquatch,Sport utility vehicle: Small,1.5,3,A8,X,10.2,9,9.7,29,228,5,6
2025,Ford,Escape,Sport utility vehicle: Small,1.5,3,A8,X,8.9,6.9,8,35,185,6,6
2025,Ford,Escape AWD,Sport utility vehicle: Small,1.5,3,A8,X,9.2,7.4,8.4,34,196,6,6
2025,Ford,Escape AWD,Sport utility vehicle: Small,2,4,A8,X,10.2,7.6,9.1,31,213,5,6
2025,Ford,Escape Hybrid,Sport utility vehicle: Small,2.5,4,AV,X,5.6,6.5,6,47,140,7,7
2025,Ford,Escape Hybrid AWD,Sport utility vehicle: Small,2.5,4,AV,X,5.6,6.5,6,47,140,7,7
2025,Ford,Expedition 4WD,Sport utility vehicle: Standard,3.5,6,AS10,X,15.4,10.7,13.3,21,312,4,6
2025,Ford,Explorer AWD,Sport utility vehicle: Standard,2.3,4,A10,X,11.9,8.7,10.4,27,245,5,6
2025,Ford,Explorer AWD,Sport utility vehicle: Standard,3,6,A10,X,13,9.3,11.3,25,266,4,5
2025,Ford,Explorer AWD,Sport utility vehicle: Standard,3,6,AS10,X,13.3,9.6,11.6,24,273,4,5
2025,Ford,F-150,Pickup truck: Standard,2.7,6,AS10,X,12.8,9.5,11.3,25,265,4,6
2025,Ford,F-150,Pickup truck: Standard,3.5,6,AS10,X,14.2,9.7,12.2,23,286,4,6
2025,Ford,F-150,Pickup truck: Standard,5,8,AS10,X,14.5,10.2,12.6,22,295,4,5
2025,Ford,F-150 4X4,Pickup truck: Standard,2.7,6,AS10,X,13.1,10.2,11.8,24,277,4,6
2025,Ford,F-150 4X4,Pickup truck: Standard,3.5,6,AS10,X,14.5,9.8,12.4,23,291,4,6
